"YEAR_MO","YEAR","MONTH","REPORTER_CODE","REPORTER_TXT","FLOW","PARTNER_CODE","PARTNER_TXT","CMD_CODE","CMD_TXT","NET_WGT","PRIM_VALUE"
"2011-05-01","2011","5","CZE","Czechia","Export","DEU","Germany","080810","Fruit, edible; apples, fresh",150600,94120.912
"2011-05-01","2011","5","CZE","Czechia","Export","SVK","Slovakia","080810","Fruit, edible; apples, fresh",623100,797445.166
"2011-05-01","2011","5","CZE","Czechia","Export","SVK","Slovakia","0808","Apples, pears and quinces; fresh",0,972860.146
"2011-05-01","2011","5","CZE","Czechia","Export","W00","World","0808","Apples, pears and quinces; fresh",0,1083825.258
"2011-06-01","2011","6","CZE","Czechia","Import","ESP","Spain","0808","Apples, pears and quinces; fresh",14100,35221.824
"2011-06-01","2011","6","CZE","Czechia","Import","FRA","France","0808","Apples, pears and quinces; fresh",258500,227776.428
"2011-06-01","2011","6","CZE","Czechia","Import","BEL","Belgium","0808","Apples, pears and quinces; fresh",257600,250754.064
"2011-06-01","2011","6","CZE","Czechia","Import","NLD","Netherlands","0808","Apples, pears and quinces; fresh",489300,509349.588
"2011-06-01","2011","6","CZE","Czechia","Import","ITA","Italy","0808","Apples, pears and quinces; fresh",2429700,2705634.624
"2011-06-01","2011","6","CZE","Czechia","Import","AUT","Austria","0808","Apples, pears and quinces; fresh",405100,425740.92
"2011-06-01","2011","6","CZE","Czechia","Import","SVK","Slovakia","0808","Apples, pears and quinces; fresh",723400,874013.448
"2011-06-01","2011","6","CZE","Czechia","Import","POL","Poland","0808","Apples, pears and quinces; fresh",7600,9898.944
"2011-06-01","2011","6","CZE","Czechia","Import","W00","World","080810","Fruit, edible; apples, fresh",4749800,5332207.188
"2011-06-01","2011","6","CZE","Czechia","Import","W00","World","0808","Apples, pears and quinces; fresh",5685100,6412745.988
"2011-06-01","2011","6","CZE","Czechia","Import","ESP","Spain","080810","Fruit, edible; apples, fresh",14100,35221.824
"2011-06-01","2011","6","CZE","Czechia","Import","BEL","Belgium","080810","Fruit, edible; apples, fresh",149400,155102.64
"2011-06-01","2011","6","CZE","Czechia","Import","FRA","France","080810","Fruit, edible; apples, fresh",189900,148584.876
"2011-06-01","2011","6","CZE","Czechia","Import","NLD","Netherlands","080810","Fruit, edible; apples, fresh",178800,205460.64
"2011-06-01","2011","6","CZE","Czechia","Import","ITA","Italy","080810","Fruit, edible; apples, fresh",2212900,2435888.4
"2011-06-01","2011","6","CZE","Czechia","Import","AUT","Austria","080810","Fruit, edible; apples, fresh",360400,378059.088
"2011-06-01","2011","6","CZE","Czechia","Import","POL","Poland","080810","Fruit, edible; apples, fresh",7600,9898.944
"2011-06-01","2011","6","CZE","Czechia","Import","SVK","Slovakia","080810","Fruit, edible; apples, fresh",705600,854301.888
"2011-06-01","2011","6","CZE","Czechia","Import","DEU","Germany","080810","Fruit, edible; apples, fresh",931100,1109688.888
"2011-06-01","2011","6","CZE","Czechia","Import","DEU","Germany","0808","Apples, pears and quinces; fresh",1099800,1374356.148
"2011-06-01","2011","6","CZE","Czechia","Export","W00","World","080810","Fruit, edible; apples, fresh",772300,964096.716
"2011-06-01","2011","6","CZE","Czechia","Export","DEU","Germany","0808","Apples, pears and quinces; fresh",72100,26804.844
"2011-06-01","2011","6","CZE","Czechia","Export","POL","Poland","0808","Apples, pears and quinces; fresh",900,963.996
"2011-06-01","2011","6","CZE","Czechia","Export","ITA","Italy","0808","Apples, pears and quinces; fresh",3100,1827.276
"2011-06-01","2011","6","CZE","Czechia","Export","HUN","Hungary","0808","Apples, pears and quinces; fresh",3000,3510.672
"2011-06-01","2011","6","CZE","Czechia","Export","ITA","Italy","080810","Fruit, edible; apples, fresh",3100,1827.276
"2011-06-01","2011","6","CZE","Czechia","Export","POL","Poland","080810","Fruit, edible; apples, fresh",600,676.236
"2011-06-01","2011","6","CZE","Czechia","Export","DEU","Germany","080810","Fruit, edible; apples, fresh",72100,26804.844
"2011-06-01","2011","6","CZE","Czechia","Export","SVK","Slovakia","080810","Fruit, edible; apples, fresh",696500,934788.36
"2011-06-01","2011","6","CZE","Czechia","Export","SVK","Slovakia","0808","Apples, pears and quinces; fresh",0,1018799.892
"2011-06-01","2011","6","CZE","Czechia","Export","W00","World","0808","Apples, pears and quinces; fresh",0,1051906.68
"2011-07-01","2011","7","CZE","Czechia","Import","ESP","Spain","0808","Apples, pears and quinces; fresh",43600,59808.952
"2011-07-01","2011","7","CZE","Czechia","Import","FRA","France","0808","Apples, pears and quinces; fresh",161000,116194.544
"2011-07-01","2011","7","CZE","Czechia","Import","BEL","Belgium","0808","Apples, pears and quinces; fresh",334300,291099.712
"2011-07-01","2011","7","CZE","Czechia","Import","NLD","Netherlands","0808","Apples, pears and quinces; fresh",678000,707180.592
"2011-07-01","2011","7","CZE","Czechia","Import","AUT","Austria","0808","Apples, pears and quinces; fresh",580800,568021.008
"2011-07-01","2011","7","CZE","Czechia","Import","ITA","Italy","0808","Apples, pears and quinces; fresh",1729500,1625068.992
"2011-07-01","2011","7","CZE","Czechia","Import","SVK","Slovakia","0808","Apples, pears and quinces; fresh",692100,821934.472
"2011-07-01","2011","7","CZE","Czechia","Import","POL","Poland","0808","Apples, pears and quinces; fresh",19400,14820.296
"2011-07-01","2011","7","CZE","Czechia","Import","W00","World","0808","Apples, pears and quinces; fresh",4964300,5165950.088
"2011-07-01","2011","7","CZE","Czechia","Import","W00","World","080810","Fruit, edible; apples, fresh",4313900,4505041.912
"2011-07-01","2011","7","CZE","Czechia","Import","BEL","Belgium","080810","Fruit, edible; apples, fresh",286700,244156.888
"2011-07-01","2011","7","CZE","Czechia","Import","FRA","France","080810","Fruit, edible; apples, fresh",37600,27030.28
"2011-07-01","2011","7","CZE","Czechia","Import","NLD","Netherlands","080810","Fruit, edible; apples, fresh",539600,588375.736
"2011-07-01","2011","7","CZE","Czechia","Import","ITA","Italy","080810","Fruit, edible; apples, fresh",1560600,1417741.752
"2011-07-01","2011","7","CZE","Czechia","Import","AUT","Austria","080810","Fruit, edible; apples, fresh",530400,538537.32
"2011-07-01","2011","7","CZE","Czechia","Import","POL","Poland","080810","Fruit, edible; apples, fresh",19400,14820.296
"2011-07-01","2011","7","CZE","Czechia","Import","SVK","Slovakia","080810","Fruit, edible; apples, fresh",680200,808697.48
"2011-07-01","2011","7","CZE","Czechia","Import","DEU","Germany","080810","Fruit, edible; apples, fresh",659400,865682.16
"2011-07-01","2011","7","CZE","Czechia","Import","DEU","Germany","0808","Apples, pears and quinces; fresh",725600,961821.52
"2011-07-01","2011","7","CZE","Czechia","Export","POL","Poland","0808","Apples, pears and quinces; fresh",1200,1312.288
"2011-07-01","2011","7","CZE","Czechia","Export","POL","Poland","080810","Fruit, edible; apples, fresh",1100,1212.44
